generated_packets,delivered_packets,pdr,alive_nodes,residual_energy_mean,residual_energy_std,control_packets,retransmissions,seed,method,round,selected_next_hop_risk,latency_sec,cluster_risk
100,57,0.57,100,1.9825520632442923,0.024088601765886685,10,10,0,DRL-Routing,13,0.15898535030297925,0.004867231999924115,0.010962644664319393
100,43,0.43,100,1.981454326389876,0.025258238345785722,10,11,0,DRL-Routing,14,0.16009556001995073,0.004017103000023781,0.012150299701167475
100,46,0.46,100,1.9805067228504232,0.026793059608846436,10,3,0,DRL-Routing,15,0.16034410896211326,0.004244170999982089,0.012747323006082351
100,46,0.46,100,1.9792875000708634,0.02816497606349152,10,10,0,DRL-Routing,16,0.16078535441548036,0.0036220259999026894,0.013528386080521877
100,45,0.45,100,1.9779151600067135,0.02979158993576737,10,11,0,DRL-Routing,17,0.15925299173588722,0.004149188999917897,0.01422985596282674
100,50,0.5,100,1.9765520447440144,0.03182578023618966,10,8,0,DRL-Routing,18,0.16208993577651093,0.00690534300008494,0.015062117176725627
100,44,0.44,100,1.9754109737448824,0.03302369066595809,10,7,0,DRL-Routing,19,0.1615815086761903,0.005306338999957916,0.016101665670082636
100,29,0.29,100,1.9749292626358952,0.033571005675489804,10,8,0,DRL-Routing,20,0.16190662721794966,0.003725766000002295,0.016717377331319935
100,45,0.45,100,1.973612293667685,0.03533710597410277,10,10,0,DRL-Routing,21,0.1634882637757,0.004428561999930025,0.01699858636794218
100,46,0.46,100,1.9722424911944731,0.03670309226660939,10,11,0,DRL-Routing,22,0.16300577176212072,0.004970484999944347,0.017904786087759965
100,36,0.36,100,1.9715074472651426,0.03734132748415913,10,8,0,DRL-Routing,23,0.16185160239689445,0.004191805000004933,0.01860982733779394
100,31,0.31,100,1.9710909358825726,0.03782102803593463,10,4,0,DRL-Routing,24,0.16194292421155218,0.004722743999991508,0.018940495253049992
100,43,0.43,100,1.9702785458600471,0.03874807386067077,10,2,0,DRL-Routing,25,0.1643012640442117,0.0047764170000164086,0.019187865617485686
100,35,0.35,100,1.9696959745553244,0.03939104814032625,10,2,0,DRL-Routing,26,0.16259676138941853,0.004727281999976185,0.019666292313214144
100,34,0.34,100,1.9691222781778916,0.04009662841258875,10,6,0,DRL-Routing,27,0.16455774764301587,0.005306069999960528,0.019998542216253464
100,51,0.51,100,1.9677833771382356,0.041298688305930135,10,7,0,DRL-Routing,28,0.16344005457360178,0.006524858999910066,0.020362690939115472
100,52,0.52,100,1.9662206331489456,0.043577382520509925,10,10,0,DRL-Routing,29,0.16307595864369792,0.005162240999993628,0.020987415964462686
100,48,0.48,100,1.9649231766753545,0.04562913063394843,10,9,0,DRL-Routing,30,0.16790969738077302,0.005520957000044291,0.02216301758892325
100,46,0.46,100,1.9637606695941765,0.04732230046981709,10,8,0,DRL-Routing,31,0.16438928525461838,0.004556408999974337,0.023221839474003834
100,43,0.43,100,1.9629137332018933,0.04836219937725751,10,5,0,DRL-Routing,32,0.16777837253249475,0.005029589999935524,0.024097794173360727
100,45,0.45,100,1.9614760393167594,0.05031376036585387,10,14,0,DRL-Routing,33,0.16445724538284634,0.004841985999973986,0.02463796473067283
100,45,0.45,100,1.9606108648726122,0.05145162515236345,10,3,0,DRL-Routing,34,0.1660472847752464,0.005115860000046268,0.02565096861039287
100,43,0.43,100,1.9594566211167064,0.05269497996664071,10,10,0,DRL-Routing,35,0.16565953362214145,0.006233828999938851,0.02624265019730019
100,40,0.4,100,1.9584106160234211,0.053884791999410236,10,10,0,DRL-Routing,36,0.1667870243712258,0.0050424110000903966,0.026892649393189534
100,50,0.5,100,1.957032808122134,0.05567250036522251,10,6,0,DRL-Routing,37,0.16675636100689906,0.004430766000041331,0.02751455261910034
100,32,0.32,100,1.9564046003965563,0.05629522910870033,10,8,0,DRL-Routing,38,0.16707628870241975,0.0040358210000022154,0.02844740265838881
100,34,0.34,100,1.955963585556495,0.05684340961383277,10,1,0,DRL-Routing,39,0.16504854999339755,0.0041976159999421725,0.02877483984638955
100,38,0.38,100,1.9552278295143903,0.05762588811883926,10,5,0,DRL-Routing,40,0.16930653239528962,0.004110784999966199,0.029061588863647972
100,35,0.35,100,1.954532930842804,0.05829616708664099,10,8,0,DRL-Routing,41,0.16876888018765265,0.006792724999968414,0.029472722917515987
100,51,0.51,100,1.9529415554799525,0.05965299221615863,10,13,0,DRL-Routing,42,0.169392746666076,0.004094941999937873,0.029826137031035403
100,36,0.36,100,1.952399295936025,0.060382956154998176,10,4,0,DRL-Routing,43,0.16924113442422808,0.004105139999978746,0.03054520089845084
100,51,0.51,100,1.9509184417904581,0.06233420357412375,10,6,0,DRL-Routing,44,0.16722100946948307,0.0038411300000689153,0.03092756498060202
100,41,0.41,100,1.9497532711844463,0.06369649025540179,10,13,0,DRL-Routing,45,0.16930966951715468,0.004356209999968996,0.03195120932529298
100,38,0.38,100,1.9490809172348318,0.064722447032926,10,3,0,DRL-Routing,46,0.16686739457415212,0.006001801000024898,0.032669000294262424
100,30,0.3,100,1.9486375072212567,0.06523982735390693,10,5,0,DRL-Routing,47,0.16612715977497267,0.004399023000019042,0.03320664955169469
100,43,0.43,100,1.947669397094604,0.06689171073562691,10,6,0,DRL-Routing,48,0.17010417098440353,0.005360545999906208,0.03347971443902824
100,33,0.33,100,1.9472342855053113,0.06726678404415051,10,2,0,DRL-Routing,49,0.16694901710306442,0.0052566379999916535,0.03434448924787866
